Area,MajorAxisLenght,MinorAxisLenght,Eccentricity,Orientation,ConvexArea,FilledArea,EulerNumber,EquivDiameter,Solidity,Extent,Perimeter,Class
,,,,,,,,,,,,
311,45.6957,8.7998,0.9813,-5.7814,334,311,1,19.8992,0.9311,0.7068,91.525,wheat
,,,,,,,,,,,,
1690,69.08,32.8673,0.8796,-15.6711,1727,1701,-7,46.3872,0.9786,0.7207,166.371,sunflowerSeeds
,,,,,,,,,,,,
694,50.5956,17.5203,0.9381,1.7647,710,694,1,29.7259,0.9775,0.8165,109.72,peas
,,,,,,,,,,,,
1752,135.4313,16.8499,0.9922,5.7401,1884,1761,-1,47.2305,0.9299,0.5771,276.205,sunflowerSeeds
,,,,,,,,,,,,
314,48.181,8.3713,0.9848,1.2984,329,314,1,19.9949,0.9544,0.8177,96.545,wheat
,,,,,,,,,,,,
171,23.4641,9.3739,0.9167,1.972,183,171,1,14.7555,0.9344,0.7435,51.837,wheat
,,,,,,,,,,,,
297,30.1463,12.8509,0.9046,-26.5454,318,297,1,19.4461,0.934,0.6239,70.197,wheat
,,,,,,,,,,,,
2950,113.2659,55.1727,0.8733,15.5592,4318,2960,-5,61.2867,0.6832,0.4257,414.177,sunflowerSeeds
,,,,,,,,,,,,
305,49.8229,8.356,0.9858,-0.0037,318,305,1,19.7063,0.9591,0.7475,101.962,peas
,,,,,,,,,,,,
467,53.638,11.2985,0.9776,14.5169,521,467,1,24.3845,0.8964,0.4989,114.666,barley
,,,,,,,,,,,,
615,45.4327,17.3133,0.9245,1.0832,631,615,1,27.9829,0.9746,0.8039,100.292,peas
,,,,,,,,,,,,
316,25.4382,15.9647,0.7785,-13.9607,327,316,1,20.0585,0.9664,0.7022,63.598,barley
,,,,,,,,,,,,
331,39.5099,10.749,0.9623,11.6548,347,331,1,20.5291,0.9539,0.67,82.42,barley
,,,,,,,,,,,,
2054,89.9219,29.318,0.9454,18.5409,2111,2054,1,51.1394,0.973,0.5825,198.17,sunflowerSeeds
,,,,,,,,,,,,
407,41.1964,12.7085,0.9512,-12.1225,425,407,1,22.7642,0.9576,0.6618,88.714,barley
,,,,,,,,,,,,
1319,116.7728,15.0336,0.9917,12.1028,1426,1319,1,40.9805,0.925,0.3891,238.684,sunflowerSeeds
,,,,,,,,,,,,
1998,144.5831,18.0935,0.9921,4.5527,2152,2005,-2,50.4374,0.9284,0.6161,291.835,sunflowerSeeds
,,,,,,,,,,,,
171,33.3039,7.6065,0.9736,29.0789,228,177,-2,14.7555,0.75,0.3592,71.918,barley
,,,,,,,,,,,,
2711,137.1766,25.4764,0.9826,-17.3067,2809,2711,1,58.7516,0.9651,0.4311,283.327,sunflowerSeeds
,,,,,,,,,,,,
707,56.1055,16.1193,0.9578,2.7792,731,707,1,30.003,0.9672,0.8034,118.395,peas
,,,,,,,,,,,,
414,60.7031,8.8554,0.9893,-8.4136,447,414,1,22.9591,0.9262,0.5656,124.258,barley
,,,,,,,,,,,,
339,45.8993,9.5146,0.9783,3.6478,361,339,1,20.7757,0.9391,0.737,94.982,wheat
,,,,,,,,,,,,
435,59.1207,9.6671,0.9865,-1.346,471,439,-1,23.5342,0.9236,0.7373,120.396,barley
,,,,,,,,,,,,
531,57.1927,12.2432,0.9768,0.026,554,533,0,26.0017,0.9585,0.8194,114.028,peas
,,,,,,,,,,,,
618,50.1475,15.7739,0.9492,-0.2707,630,618,1,28.0511,0.981,0.8408,106.238,peas
,,,,,,,,,,,,
2179,152.7954,18.6772,0.9925,4.8707,2323,2186,-5,52.6725,0.938,0.6135,308.814,sunflowerSeeds
,,,,,,,,,,,,
345,28.7775,15.3746,0.8453,-22.3355,357,345,1,20.9587,0.9664,0.6609,69.776,wheat
,,,,,,,,,,,,
