тип населенного пункта;численность населения;год рождения;возраст;образование;семейное положение;пол;день рождения;месяц рождения;жили в другом городе;национальность;трудоустройство;удовлетворенность работой;удовлетворенность оплатой;отрасль где работаете;месячная зарплата;были ли в отпуске последние 12 месяцев;удовлетворенность материальным положением;сколько классов закончили;в какой школе учились;вера;получаете пенсию;испытывате чувство одиночества;вес;рост;пульс;размер семьи;вы счастливы?
Областной центр;973826;1989;28;10 и более классов школы и техникум без диплома;Состоите в зарегистрированном браке;ЖЕНСКИЙ;13;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы находитесь в отпуске - декретном или по уходу за ребенком до 3-х лет;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ЗДРАВООХРАНЕНИЕ;0;Нет;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;65;160;78;4;Да
Село;1753;1993;24;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;28;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы находитесь в отпуске - декретном или по уходу за ребенком до 3-х лет;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;7000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;55;163;56;3;Да
Село;80;1965;51;среднее образование - есть аттестат о ср. образовании;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;4;Октябрь;Да;ТАТАРИН(КА);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;7000;Да;Совсем не удовлетворены;10;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;53;165;75;5;Да
Село;288;1970;47;среднее образование - есть аттестат о ср. образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;21;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;10000;Нет;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;94;174;75;3;Да
Село;1753;1988;29;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;17;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;12000;Да;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;65;165;81;1;Да
Город;210115;1965;52;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;30;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;СЕЛЬСКОЕ ХОЗЯЙСТВО;12000;Нет;Совсем не удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;65;176;79;1;Да
Областной центр;333606;1962;54;есть диплом о высшем образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;1;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОБРАЗОВАНИЕ;13000;Да;Не очень удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;68;156;59;5;Нет
Город;95854;1986;30;среднее образование - есть аттестат о ср. образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;11;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;13000;Да;Совсем не удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;60;168;59;3;Да
Село;2357;1979;38;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;24;Сентябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;14000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Часто;114;166;62;2;Нет
Город;26830;1991;26;7-9 классов школы (незак. средн) + ПТУ с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;26;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;15000;Нет;Скорее удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;62;164;85;2;Да
