ID;Warehouse_block;Mode_of_Shipment;Customer_care_calls;Customer_rating;Cost_of_the_Product;Prior_purchases;Product_importance;Gender;Discount_offered;Weight_in_gms;Reached_on_Time
1;C;Ship;3;1;181;3;medium;M;34;3306;yes
2;A;Road;4;5;244;3;medium;M;3;5857;yes
3;F;Ship;4;1;255;5;low;F;9;1793;yes
4;F;Flight;3;3;161;3;low;F;24;1920;yes
5;A;Ship;3;1;192;3;medium;M;4;4997;yes
6;B;Ship;7;1;269;4;medium;M;4;1118;yes
7;D;Ship;3;4;197;3;medium;F;56;3427;yes
8;D;Ship;4;5;132;4;medium;F;28;1715;yes
9;C;Ship;5;1;203;3;low;M;10;4750;no
10;D;Ship;5;3;170;3;low;F;12;1018;yes
11;F;Ship;3;4;195;4;low;M;3;4743;no
12;F;Ship;3;5;150;10;low;M;2;5042;no
13;D;Ship;4;1;249;6;medium;M;7;1415;yes
14;D;Ship;3;1;255;5;low;F;1;2713;yes
15;A;Ship;5;5;269;3;low;F;5;5673;yes
16;B;Road;3;5;110;3;medium;M;3;4252;yes
17;F;Ship;5;2;226;3;medium;M;6;4700;yes
18;F;Ship;4;1;144;4;low;F;63;1881;yes
19;C;Ship;4;3;200;4;medium;F;7;4953;yes
20;D;Ship;3;4;98;3;low;M;5;4432;no
21;D;Flight;4;1;242;3;medium;F;35;3556;yes
22;C;Ship;3;3;182;4;low;M;7;1869;yes
23;F;Road;4;1;211;3;medium;F;7;4083;yes
24;D;Ship;6;4;275;4;low;F;3;1182;no
25;D;Flight;4;4;153;3;medium;M;3;4422;yes
26;D;Ship;4;3;151;4;medium;M;13;1583;yes
27;A;Flight;5;5;161;3;medium;F;59;1037;yes
28;F;Ship;4;5;259;2;medium;F;4;4092;yes
29;D;Road;4;5;154;4;medium;M;7;4938;no
30;C;Ship;3;4;268;2;high;F;39;2822;yes
31;B;Road;5;3;203;2;low;F;37;3531;yes
32;A;Ship;7;3;286;4;low;F;3;1670;no
33;C;Ship;3;3;241;2;high;M;2;4836;yes
34;B;Ship;2;1;271;2;low;M;7;5875;no
35;D;Ship;2;1;252;3;low;F;12;2800;yes
36;C;Ship;5;4;272;2;low;F;1;5983;yes
37;A;Flight;2;3;237;3;medium;M;2;5331;no
38;F;Ship;2;2;98;5;medium;M;10;4368;no
39;B;Ship;3;3;281;2;medium;M;55;3047;yes
40;C;Flight;3;1;121;5;low;F;60;1577;yes
41;B;Ship;4;1;194;3;medium;F;9;5804;no
